iter	Passed	Remaining
0	1	172
1	3	148
2	4	137
3	5	128
4	6	121
5	7	114
6	8	110
7	9	107
8	11	119
9	13	119
10	14	115
11	15	114
12	16	112
13	17	109
14	18	106
15	19	104
16	20	100
17	21	98
18	22	96
19	23	94
20	25	96
21	27	95
22	27	93
23	29	92
24	30	90
25	31	88
26	32	86
27	33	84
28	34	83
29	34	81
30	35	79
31	36	78
32	37	76
33	39	76
34	40	75
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	67
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	60
48	56	59
49	57	57
50	59	56
51	60	55
52	61	54
53	62	52
54	63	51
55	64	50
56	65	49
57	66	47
58	67	46
59	70	46
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
